x	y
1	116.87054285714285
2	64.49265714285714
3	35.941942857142855
4	19.153685714285714
5	10.983942857142857
6	6.5414
7	4.622428571428571
8	2.786857142857143
9	1.9057428571428572
10	1.1353714285714285
11	1.2065714285714286
12	0.9700571428571428
13	0.9793142857142857
14	1.2428857142857144
15	1.4177142857142857
16	1.9086857142857143
17	1.7386285714285714
18	1.8219142857142858
19	1.2726
20	1.2945714285714285
21	1.1405714285714286
22	0.9112571428571429
23	0.7102571428571428
24	0.6213714285714286
25	0.5575714285714286
26	0.6159714285714286
27	0.8680285714285715
28	0.8472
29	0.5663142857142857
30	0.43314285714285716
31	0.46808571428571427
32	0.43585714285714283
33	0.4191142857142857
34	0.29828571428571427
35	0.22934285714285715
36	0.11682857142857143
37	0.17368571428571428
38	0.14994285714285716
39	0.1541142857142857
40	0.18225714285714287
41	0.08268571428571428
42	0.12622857142857144
43	0.09468571428571429
44	0.1455142857142857
45	0.08917142857142857
46	0.04657142857142857
47	0.12971428571428573
48	0.07451428571428571
49	0.0634
50	0.0082
51	0.04277142857142857
52	0.03737142857142857
53	0.009457142857142857
54	0.0
