x	y
1.0	4.0
2.0	2.0
3.0	3.0
4.0	2.0
5.0	6.0
6.0	5.0
7.0	3.0
8.0	4.0
9.0	1.0
10.0	3.0
11.0	9.0
12.0	8.0
13.0	6.0
14.0	4.0
15.0	2.0
16.0	7.0
17.0	7.0
18.0	7.0
19.0	6.0
20.0	14.0
21.0	10.0
22.0	5.0
23.0	12.0
24.0	12.0
25.0	11.0
26.0	10.0
27.0	12.0
28.0	10.0
29.0	19.0
30.0	12.0
31.0	17.0
32.0	11.0
33.0	11.0
34.0	10.0
35.0	11.0
36.0	8.0
37.0	17.0
38.0	11.0
39.0	13.0
40.0	12.0
41.0	5.0
42.0	11.0
43.0	9.0
44.0	9.0
45.0	7.0
46.0	8.0
47.0	6.0
48.0	6.0
49.0	7.0
50.0	11.0
51.0	4.0
52.0	6.0
53.0	6.0
54.0	4.0
55.0	0.0
56.0	1.0
57.0	3.0
58.0	2.0
59.0	1.0
60.0	0.0
61.0	2.0
62.0	2.0
63.0	2.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	1.0
69.0	0.0
1.0	1.1748827209297783
1.068068068068068	1.1877467032202123
1.1361361361361362	1.2007219392890511
1.2042042042042043	1.2138090013802822
1.2722722722722724	1.227008459668199
1.3403403403403404	1.2403208821783203
1.4084084084084085	1.2537468347077187
1.4764764764764764	1.2672868807447615
1.5445445445445447	1.2809415813882614
1.6126126126126126	1.2947114952660546
1.6806806806806809	1.3085971784530024
1.7487487487487487	1.322599184388434
1.8168168168168168	1.3367180637930218
1.884884884884885	1.350954364585104
1.952952952952953	1.365308631796464
2.021021021021021	1.3797814074875667
2.0890890890890894	1.3943732306622632
2.1571571571571573	1.4090846371819647
2.225225225225225	1.4239161596793035
2.2932932932932935	1.4388683274712784
2.3613613613613618	1.45394166647189
2.4294294294294296	1.4691366991042916
2.4974974974974975	1.484453944212442
2.565565565565566	1.499893916972276
2.6336336336336337	1.5154571288024106
2.701701701701702	1.5311440872743844
2.76976976976977	1.5469552960224293
2.8378378378378377	1.5628912546528098
2.905905905905906	1.5789524586527204
2.9739739739739743	1.5951393992987446
3.042042042042042	1.6114525635649108
3.1101101101101105	1.6278924340303167
3.1781781781781784	1.6444594887863686
3.2462462462462462	1.6611542013436211
3.3143143143143146	1.677977040538237
3.3823823823823824	1.6949284704380794
3.4504504504504507	1.7120089502484332
3.5185185185185186	1.7292189342173803
3.586586586586587	1.7465588715408382
3.6546546546546548	1.7640292062672616
3.722722722722723	1.7816303772020328
3.790790790790791	1.7993628178115257
3.8588588588588593	1.8172269561269039
3.926926926926927	1.835223214647599
3.9949949949949954	1.8533520102445404
4.063063063063064	1.8716137540631095
4.131131131131132	1.8900088514258473
4.1991991991991995	1.9085377017349228
