x	y
3	2
8	2
13	0
18	0
23	0
28	0
33	0
38	0
43	2
48	1
53	0
58	0
63	0
68	0
73	0
78	0
83	0
88	0
93	0
98	0
103	0
108	0
113	1
118	1
123	1
128	1
133	0
138	0
143	0
148	0
153	0
158	0
163	0
168	0
173	0
178	0
183	0
188	0
193	0
198	1
203	0
208	0
213	0
218	0
223	0
228	0
233	0
238	0
243	0
248	0
253	1
258	0
263	0
268	0
273	1
278	0
283	0
288	0
293	0
298	0
303	0
308	0
313	0
318	0
323	0
328	3
333	0
338	0
343	0
348	0
353	0
358	0
363	0
368	0
373	0
378	0
383	0
388	1
393	3
398	0
403	1
408	0
413	0
418	2
423	0
428	0
433	0
438	0
443	0
448	0
453	0
458	0
463	0
468	0
473	0
478	0
483	0
488	0
493	0
498	0
503	0
508	0
513	0
518	0
523	0
528	0
533	0
538	1
543	0
548	0
553	0
558	0
563	1
568	0
573	0
578	0
583	0
588	0
593	1
598	0
603	0
608	0
613	0
618	0
623	0
628	0
633	0
638	0
643	0
648	0
653	1
658	2
663	0
668	3
673	0
678	0
683	0
688	0
693	0
698	0
703	0
708	0
713	1
718	1
723	0
728	0
733	0
738	0
743	0
748	0
753	0
758	0
763	0
768	0
773	0
778	0
783	0
788	0
793	0
798	1
803	0
808	0
813	0
818	0
823	0
828	0
833	0
838	0
843	0
848	0
853	0
858	1
863	0
868	1
873	0
878	1
883	1
888	0
893	0
898	0
903	0
908	1
913	0
918	0
923	1
928	1
933	1
938	0
943	0
948	0
953	0
958	0
963	0
968	0
973	1
978	0
983	0
988	1
993	0
998	1
1003	0
1008	1
1013	1
1018	0
1023	0
1028	0
1033	0
1038	0
1043	0
1048	2
1053	0
1058	0
1063	0
1068	0
1073	0
1078	0
1083	0
1088	0
1093	5
1098	0
1103	0
1108	0
1113	0
1118	0
1123	0
1128	0
1133	0
1138	0
1143	0
1148	0
1153	0
1158	1
1163	0
1168	0
1173	0
1178	0
1183	0
1188	0
1193	0
1198	0
1203	0
1208	2
1213	1
1218	0
1223	0
1228	0
1233	0
1238	0
1243	0
1248	0
1253	0
1258	0
1263	0
1268	0
1273	0
1278	0
1283	0
1288	0
1293	0
1298	0
1303	0
1308	0
1313	0
1318	0
1323	0
1328	1
1333	1
1338	0
1343	0
1348	0
1353	0
1358	0
1363	0
1368	0
1373	0
1378	1
1383	1
1388	0
1393	0
1398	0
1403	1
1408	0
1413	0
1418	0
1423	1
1428	0
1433	2
1438	1
1443	1
1448	0
1453	0
1458	0
1463	0
1468	0
1473	0
1478	0
1483	0
1488	0
1493	0
1498	0
1503	1
1508	0
1513	0
1518	0
1523	0
1528	0
1533	0
1538	0
1543	0
1548	0
1553	0
1558	0
1563	0
1568	0
1573	1
1578	1
1583	0
1588	1
1593	0
1598	3
1603	1
1608	1
1613	1
1618	0
1623	0
1628	0
1633	0
1638	0
1643	0
1648	0
1653	0
1658	0
1663	0
1668	0
1673	0
1678	0
1683	0
1688	0
1693	0
1698	0
1703	0
1708	0
1713	0
1718	0
1723	0
1728	0
1733	0
1738	0
1743	0
1748	0
1753	0
1758	0
1763	0
1768	0
1773	0
1778	0
1783	0
1788	0
1793	0
1798	0
1803	1
1808	0
1813	0
1818	0
1823	0
1828	0
1833	0
1838	0
1843	0
1848	0
1853	0
1858	0
1863	0
1868	0
1873	0
1878	0
1883	0
1888	0
1893	0
1898	0
1903	0
1908	0
1913	0
1918	0
1923	0
1928	0
1933	0
1938	0
1943	0
1948	0
1953	0
1958	0
1963	0
1968	0
1973	0
1978	0
1983	0
1988	0
1993	0
1998	0
2003	0
2008	0
2013	0
2018	0
2023	0
2028	0
2033	0
2038	0
2043	0
2048	0
2053	0
2058	0
2063	0
2068	0
2073	0
2078	0
2083	0
2088	0
2093	0
2098	0
2103	2
2108	0
2113	0
2118	0
2123	0
2128	0
2133	0
2138	1
2143	0
2148	0
2153	0
2158	1
2163	0
2168	0
2173	0
2178	0
2183	0
2188	0
2193	0
2198	0
2203	0
2208	0
2213	0
2218	0
2223	0
2228	0
2233	0
2238	0
2243	0
2248	0
2253	0
2258	0
2263	0
2268	0
2273	0
2278	0
2283	0
2288	0
2293	0
2298	0
2303	0
2308	0
2313	0
2318	0
2323	0
2328	0
2333	0
2338	0
2343	0
2348	0
2353	1
2358	0
2363	0
2368	0
2373	1
2378	0
2383	0
2388	0
2393	0
2398	0
2403	0
2408	2
2413	0
2418	1
2423	0
2428	1
2433	1
2438	1
2443	1
2448	1
2453	1
2458	0
2463	0
2468	0
2473	0
2478	0
2483	0
2488	0
2493	0
2498	0
2503	0
2508	0
2513	0
2518	0
2523	0
2528	0
2533	0
2538	0
2543	0
2548	0
2553	0
2558	0
2563	0
2568	0
2573	0
2578	0
2583	2
2588	0
2593	1
2598	1
2603	0
2608	0
2613	0
2618	0
2623	0
2628	0
2633	0
2638	1
2643	0
2648	0
2653	0
2658	0
2663	0
2668	0
2673	0
2678	0
2683	0
2688	0
2693	0
2698	0
2703	0
2708	0
2713	0
2718	0
2723	0
2728	1
2733	0
2738	1
2743	0
2748	0
2753	0
2758	2
2763	1
2768	0
2773	0
2778	0
2783	0
2788	0
2793	1
2798	1
2803	0
2808	0
2813	0
2818	0
2823	0
2828	0
2833	0
2838	0
2843	0
2848	0
2853	0
2858	0
2863	0
2868	0
2873	0
2878	0
2883	0
2888	0
2893	0
2898	0
2903	0
2908	0
2913	0
2918	0
2923	0
2928	1
2933	0
2938	1
2943	0
